# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs notes
12543569-1234069 193.648758 -12.568610 304.137817  50.295700  7.815  8.073  8.769  7.732  8.013  8.707 0.018 0.012 0.011 0.018 0.012 0.011 0.053 1.934 2.073 0.620 98    NN 0331 del_v3
12544100-2913397 193.670930 -29.227680 303.782470  33.638690  9.982 10.252 10.981  9.856 10.118 10.848 0.043 0.029 0.022 0.039 0.026 0.022 0.081 1.400 1.593 0.940 21    JH 0000 del_v4
12550306+0804143 193.762802   8.070546 305.669189  70.923012 11.020 11.385 11.937 10.889 11.379 11.937 0.074 0.051 0.032 0.064 0.070 0.020 0.034 1.369 1.577 0.880 98    NN 0111 del_v3
12553600-3020509 193.900010 -30.347530 303.996770  32.515590 10.370 10.672 11.362  9.796 10.128 10.902 0.065 0.045 0.036 0.081 0.060 0.058 0.086 1.554 1.934 0.520 22    JH 0131 del_v4
12573583-4944454 194.399200 -49.746014 303.953400  13.113527  9.688 10.072 10.795  9.688 10.072 10.795 0.039 0.027 0.025 0.019 0.014 0.013 0.206 1.559 1.559 0.720 40    LM 0611 rjc_v0
13000424-1521450 195.017715 -15.362523 306.010559  47.457573 11.413 11.739 12.316 11.413 11.739 12.316 0.100 0.060 0.046 0.055 0.037 0.030 0.060 1.624 1.624 0.200 98    NN 0000 del_v3
13015042-0819518 195.460144  -8.331072 307.360657  54.451149 10.847 11.085 11.813 10.708 10.933 11.704 0.060 0.039 0.028 0.050 0.035 0.032 0.048 1.583 1.785 0.380 40    LM 0116 rjc_v0
13051669-4925022 196.319565 -49.417339 305.244995  13.392250 10.308 11.020 11.557 10.308 11.020 11.557 0.109 0.130 0.079 0.054 0.071 0.047 0.177 1.808 1.808 0.440 22    LM 0666 rjc_v0
13054887-0801129 196.453674  -8.020267 309.095581  54.679283  7.625  7.841  8.491  7.589  7.802  8.445 0.012 0.006 0.006 0.011 0.006 0.006 0.047 1.863 2.007 0.460 98    NN 0666 del_v3
13054928-0800419 196.455353  -8.011716 309.099884  54.687634  9.326  9.528 10.169  9.270  9.444 10.133 0.027 0.015 0.012 0.026 0.013 0.012 0.047 1.491 1.671 0.840 40    LM 0666 rjc_v0
13065923-5713382 196.746948 -57.227119 305.045105   5.580831  9.898 10.181 10.876  9.752 10.081 10.875 0.044 0.043 0.037 0.043 0.042 0.266 0.383 1.452 1.685 0.520 98    NN 0333 del_v3
13073308-4500417 196.887772 -45.011665 305.921265  17.766541 10.952 11.086 11.818 10.950 11.086 11.818 0.109 0.053 0.046 0.110 0.029 0.028 0.099 1.487 1.638 0.720 40    LM 0111 rjc_v0
13095078-2414307 197.461655 -24.241869 308.291351  38.438213 11.724 11.899 12.642 11.724 11.899 12.612 0.096 0.067 0.048 0.056 0.043 0.063 0.129 1.583 1.773 0.200 98    NN 0111 del_v3
13102904-5618221 197.621094 -56.306160 305.588257   6.467340 11.167 11.314 11.880 11.166 11.314 11.880 0.102 0.067 0.062 0.133 0.098 0.115 0.592 1.507 1.654 0.340 21    LM 0222 del_v3
13120529+4611469 198.022232  46.196266 112.178665  70.498550 10.652 10.851 11.565 10.403 10.619 11.444 0.057 0.036 0.029 0.057 0.036 0.036 0.013 1.574 1.851 0.580 40    LM 0666 rjc_v0
13132745-4322565 198.364350 -43.382490 307.168520  19.308050 10.354 10.558 11.229 10.258 10.436 11.131 0.051 0.030 0.025 0.045 0.027 0.026 0.136 1.500 1.677 0.400 21    JH 0000 del_v4
13150715-3708472 198.779800 -37.146339 308.157562  25.485001 11.429 11.466 12.341 11.093 10.900 11.953 0.092 0.046 0.044 0.091 0.039 0.050 0.066 1.241 1.587 0.720 98    NN 0111 del_v3
13182685-1545599 199.611893 -15.766803 312.412262  46.607128 11.665 11.945 12.616 11.540 11.864 12.515 0.086 0.046 0.039 0.084 0.052 0.047 0.074 1.427 1.616 0.340 98    NN 0000 del_v3
13193834-1242052 199.909698 -12.701402 313.575073  49.586639 10.369 10.653 11.354 10.001 10.357 11.151 0.064 0.038 0.030 0.071 0.044 0.044 0.049 1.512 1.850 0.840 40    LM 0222 rjc_v0
13214638-5649131 200.443375 -56.820389 307.095184   5.805959 11.361 11.536 12.135 11.265 11.386 12.010 0.092 0.065 0.064 0.090 0.068 0.074 0.772 1.338 1.551 0.320 98    NN 0666 del_v3
13214691-1625114 200.445500 -16.419910 313.403380  45.833940  9.903 10.165 10.854  9.763 10.074 10.605 0.035 0.025 0.019 0.032 0.024 0.018 0.079 1.504 1.694 0.580 22    JH 0333 del_v4
13230160-3546264 200.756775 -35.774090 310.097260  26.657763 11.290 11.586 12.194 10.743 10.958 11.499 0.090 0.053 0.043 0.108 0.067 0.055 0.062 1.405 1.818 0.560 98    NN 0222 del_v3
13242754-3025548 201.114792 -30.431929 311.317200  31.901587 11.403 11.930 12.569 10.886 11.624 12.131 0.098 0.071 0.060 0.084 0.095 0.069 0.072 1.575 1.882 0.480 98    NN 0244 del_v3
13245297-3020059 201.220856 -30.334940 311.441101  31.983587 10.337 10.602 11.333 10.238 10.497 11.232 0.044 0.029 0.024 0.041 0.027 0.026 0.074 1.531 1.707 0.560 40    LM 0666 rjc_v0
13251805-4137334 201.325360 -41.625940 309.692410  20.800860 10.880 11.192 11.743 10.880 11.192 11.743 1.079 0.632 0.467 0.540 0.357 0.286 0.115 2.079 2.079 1.000 22    JH 0222 del_v4
13272845-3810353 201.868729 -38.176395 310.685303  24.152210 11.593 11.842 12.528 11.593 11.842 12.528 0.133 0.098 0.071 0.076 0.062 0.048 0.077 1.671 1.671 0.220 98    NN 0000 del_v3
13275726-3129577 201.988571 -31.499321 311.986633  30.729572 10.016 10.301 10.978 10.016 10.301 10.978 0.054 0.028 0.024 0.027 0.014 0.013 0.050 1.687 1.686 0.460 98    NN 0666 del_v3
13354056-2404128 203.919037 -24.070263 315.721130  37.700394 10.312 10.555 11.274 10.220 10.445 11.165 0.049 0.028 0.022 0.043 0.024 0.022 0.097 1.571 1.741 0.400 40    LM 0666 rjc_v0
13355380-3417437 203.974075 -34.295597 313.292236  27.680170  9.597 10.093 10.846  9.561 10.053 10.816 0.017 0.013 0.012 0.017 0.016 0.013 0.060 1.356 1.554 0.540 98    NN 0000 del_v3
13361501+3820381 204.062500  38.343929  85.809402  75.375595 10.256 10.536 11.242 10.155 10.421 11.108 0.029 0.021 0.015 0.027 0.019 0.015 0.007 1.577 1.745 0.320 40    LM 0000 rjc_v0
13370618-2953185 204.275726 -29.888510 314.599854  31.946501  9.949 10.968 10.748  9.949 10.968 10.748 0.038 0.049 0.019 0.019 0.027 0.010 0.068 1.422 1.421 0.420 40    LM 0222 rjc_v0
13374997-2359412 204.458150 -23.994800 316.348970  37.665210 10.364 10.600 11.443 10.364 10.600 11.443 0.232 0.157 0.137 0.116 0.080 0.081 0.106 2.066 2.066 0.400 22    JH 0000 del_v4
13395599-3138241 204.983276 -31.640078 314.860260  30.105909  8.404  8.618  9.159  8.267  8.468  9.000 0.033 0.021 0.016 0.031 0.020 0.015 0.056 1.913 2.052 0.500 98    NN 0313 del_v3
13444917+3710028 206.204987  37.167416  77.962418  74.914352 11.382 11.695 12.437 11.382 11.695 12.437 0.054 0.035 0.027 0.057 0.054 0.018 0.008 1.589 1.735 0.180 98    NN 0222 del_v3
13462220+4607116 206.592575  46.119911  96.735199  68.114578 11.162 11.331 12.065 10.876 10.943 11.609 0.084 0.049 0.038 0.075 0.044 0.036 0.017 1.326 1.582 0.567 40    LM 0000 rjc_v0
13462460+4606266 206.602600  46.107433  96.700844  68.120911  9.102  9.334 10.066  9.102  9.334 10.066 0.030 0.020 0.018 0.015 0.010 0.009 0.017 1.933 1.933 0.220 98    NN 0666 del_v3
13480575-3032165 207.024078 -30.537886 317.130768  30.766890 11.133 11.437 12.102 11.132 11.437 12.102 0.063 0.053 0.035 0.227 0.189 0.022 0.062 1.501 1.649 0.480 40    LM 0000 rjc_v0
13513681+3759563 207.903340  37.998890  77.418680  73.339360 11.724 13.323 13.826 11.724 13.323 13.826 1.198 1.998 1.400 9.999 9.999 9.999 0.017 2.079 2.177 1.000 22    NN 0222 del_v4
13533756+3608101 208.406662  36.136082  71.082764  74.022057 11.187 11.423 12.096 10.883 11.167 11.788 0.064 0.040 0.028 0.062 0.046 0.033 0.013 1.334 1.681 0.680 40    LM 0666 rjc_v0
13535790-2737310 208.491318 -27.625269 319.514099  33.225094 10.853 11.098 11.834 10.699 10.835 11.667 0.072 0.044 0.033 0.064 0.039 0.036 0.068 1.400 1.626 0.500 40    LM 0666 rjc_v0
13561035+0514388 209.043121   5.244196 340.971802  63.229797  9.398  9.623 10.326  9.387  9.623 10.326 0.052 0.032 0.029 0.052 0.016 0.015 0.027 1.647 1.776 0.400 40    LM 0333 rjc_v0
13583793+3724564 209.658096  37.415676  73.140572  72.508247 10.339 10.594 11.286 10.243 10.576 11.165 0.037 0.025 0.018 0.033 0.025 0.018 0.010 1.538 1.710 0.980 40    LM 0666 rjc_v0
13594914+3811206 209.954849  38.189079  74.883736  71.900452 10.578 10.850 11.895  9.996 10.232 11.227 0.045 0.030 0.028 0.074 0.051 0.053 0.009 1.358 1.835 0.120 40    LM 0000 rjc_v0
13595253+3810356 209.968811  38.176575  74.830795  71.897949 10.591 10.921 11.432 10.289 10.673 11.201 0.050 0.035 0.022 0.045 0.037 0.024 0.009 1.689 1.923 0.380 40    LM 0222 rjc_v0
14052149-4148552 211.339523 -41.815361 317.398041  18.970592 10.448 10.773 11.363 10.448 10.773 11.363 0.065 0.043 0.031 0.032 0.023 0.018 0.067 1.777 1.777 0.240 98    NN 0331 del_v3
14080312-3318537 212.012955 -33.314930 320.834015  26.879517 10.466 10.743 11.467 10.079 10.384 11.130 0.011 0.007 0.006 0.007 0.005 0.006 0.072 0.820 0.997 0.340 98    NN 0000 del_v3
14080439-3318147 212.018311 -33.304089 320.842712  26.888294 10.572 10.828 11.464 10.314 10.828 11.226 0.074 0.047 0.034 0.074 0.025 0.040 0.072 1.530 1.816 0.500 40    LM 0666 rjc_v0
14155567-4807185 213.982071 -48.121841 317.190796  12.396950 10.300 10.554 11.284 10.300 10.554 11.284 0.063 0.047 0.036 0.032 0.024 0.020 0.204 1.623 1.623 0.460 40    LM 0666 rjc_v0
14164713+2300140 214.196365  23.003786  25.589439  70.264099 11.586 11.953 12.734 11.442 11.691 12.442 0.054 0.045 0.032 0.056 0.051 0.034 0.025 1.415 1.675 0.180 98    NN 0000 del_v3
14200543+0359285 215.022568   3.991232 349.256104  58.646069 10.083 10.340 11.122  9.977 10.212 10.987 0.047 0.029 0.025 0.041 0.025 0.027 0.030 1.551 1.722 0.280 40    LM 0666 rjc_v0
14201249-6821595 215.051544 -68.366661 310.995056  -6.895689 10.573 10.770 11.431 10.348 10.507 11.162 0.070 0.044 0.047 0.068 0.046 0.054 0.513 1.326 1.629 0.660 98    NN 0333 del_v3
14271045+3555192 216.793411  35.921959  62.267120  67.861160 11.008 11.441 12.289 10.934 11.299 12.177 0.038 0.032 0.025 0.050 0.030 0.053 0.013 1.410 1.601 0.180 40    LM 0000 rjc_v0
14272548-8746101 216.856415 -87.769524 303.933319 -25.086994  9.908 10.115 10.818  9.908 10.115 10.818 0.053 0.031 0.026 0.026 0.015 0.015 0.125 1.711 1.711 0.240 98    NN 0313 del_v3
14284502+0042413 217.187560   0.711480 348.459500  54.741710 11.362 11.680 12.469 10.998 11.293 12.410 0.100 0.054 0.054 0.086 0.052 0.075 0.036 1.631 1.889 0.280 22    NN 0133 del_v4
14301541-3414156 217.564270 -34.237621 325.214355  24.322542 11.619 11.839 12.454 11.202 11.837 11.912 0.122 0.065 0.052 0.119 0.177 0.053 0.086 1.484 1.803 0.340 98    NN 0000 del_v3
14335665-7823278 218.486511 -78.391029 308.141876 -16.569592  9.560  9.888 10.591  9.376  9.887 10.591 0.038 0.026 0.021 0.046 0.038 0.036 0.128 1.605 1.945 0.400 40    LM 0666 rjc_v0
14421842+2530426 220.576736  25.511570  35.524467  65.153503 11.686 11.943 12.727 11.686 11.943 12.727 0.060 0.040 0.032 0.035 0.026 0.022 0.031 1.336 1.337 0.380 98    NN 0000 del_v3
14463548-0846043 221.647930  -8.767910 344.822970  44.536810 10.709 11.081 11.835 10.439 10.742 11.602 0.071 0.051 0.041 0.061 0.047 0.045 0.086 1.498 1.750 0.640 22__D JH 0333 del_v4
14472431-1726580 221.851318 -17.449411 338.468170  37.294109 10.529 10.863 11.603 10.529 10.863 11.603 0.068 0.042 0.033 0.034 0.022 0.020 0.099 1.839 1.839 0.220 98    NN 0666 del_v3
14502202-2416455 222.591780 -24.279380 334.811220  31.129470 11.429 11.607 12.535 11.429 11.607 12.535 0.901 0.513 0.478 9.999 0.643 0.326 0.120 1.990 2.092 1.000 22    NN 0112 del_v4
14511779+5858401 222.824158  58.977852  98.210678  52.010975  9.373  9.720 10.524  9.310  9.641 10.434 0.016 0.014 0.012 0.016 0.026 0.023 0.011 1.634 1.797 0.340 98    NN 0666 del_v3
14513084-5231420 222.878601 -52.528355 320.757141   6.137694  9.596  9.856 10.543  9.447  9.794 10.377 0.046 0.045 0.042 0.040 0.043 0.041 0.647 1.624 1.792 0.460 98    NN 0222 del_v3
14535012-3721488 223.458860 -37.363520 328.331510  19.398650 11.693 12.153 12.767 11.458 12.153 12.732 0.092 0.072 0.054 0.089 0.122 0.076 0.071 1.365 1.631 0.400 22    NN 0033 del_v4
15054378+4424012 226.432312  44.400452  74.570206  58.084980 11.225 11.596 12.425 11.225 11.595 12.425 0.053 0.034 0.030 0.156 0.128 0.019 0.021 1.553 1.719 0.140 40    LM 0000 rjc_v0
15062599-4313575 226.608261 -43.232628 327.488739  13.110117 11.324 11.587 12.225 11.185 11.086 11.855 0.073 0.042 0.041 0.066 0.031 0.036 0.148 1.255 1.475 0.760 98    NN 0111 del_v3
15062925+0136202 226.621918   1.605634   0.425737  48.796722  6.970  7.224  7.896  6.915  7.163  7.834 0.023 0.011 0.011 0.023 0.012 0.012 0.056 2.041 2.174 0.920 98    NN 0666 del_v3
15091609-1119179 227.317032 -11.321677 348.526703  39.052971  8.661  8.878  9.529  8.661  8.878  9.529 0.034 0.020 0.019 0.017 0.010 0.009 0.108 1.822 1.821 0.500 98    NN 0333 del_v3
15131756-1807557 228.323181 -18.132168 344.127747  33.159893 11.580 11.724 12.331 11.580 11.724 12.331 0.096 0.060 0.045 0.055 0.037 0.030 0.100 1.622 1.622 0.380 98    NN 0000 del_v3
15140850+8156198 228.535477  81.938820 117.299515  33.563560 11.422 11.792 12.530 11.279 11.673 12.355 0.053 0.040 0.032 0.049 0.043 0.035 0.045 1.265 1.485 0.460 98    NN 0333 del_v3
15264539-6623033 231.689438 -66.384407 317.627289  -8.051167 10.637 10.916 11.784 10.637 10.916 11.784 0.067 0.050 0.047 0.034 0.027 0.029 0.183 1.387 1.387 0.600 40    LM 0222 rjc_v0
15300893-3838593 232.537125 -38.649811 333.929626  14.487260 11.317 11.519 12.178 11.234 11.150 11.900 0.065 0.041 0.034 0.065 0.035 0.034 0.188 1.496 1.693 0.280 98    NN 0122 del_v3
15303997-4438044 232.666630 -44.634700 330.447600   9.564010  9.275  9.362  9.884  9.275  9.362  9.884 0.013 0.010 0.007 0.007 0.005 0.004 0.275 1.310 1.309 0.500 21    NN 0222 del_v4
15323238+8304490 233.135910  83.080185 117.644394  32.308041 10.743 11.069 11.823 10.664 10.986 11.762 0.039 0.028 0.023 0.037 0.031 0.025 0.085 1.452 1.635 0.280 40    LM 0000 rjc_v0
15330596-0137519 233.274796  -1.631011   3.051102  41.632740 11.236 11.496 12.135 11.236 11.496 12.015 0.091 0.052 0.042 0.120 0.031 0.046 0.152 1.579 1.717 0.320 40    LM 0111 rjc_v0
15340844-7655409 233.535310 -76.928000 311.797060 -16.948040 10.772 10.509 11.534 10.772 10.509 11.534 0.776 0.321 0.324 9.999 0.438 0.193 0.097 2.079 2.177 1.000 22    JH 0122 del_v4
15355381+3840302 233.974335  38.675121  62.220810  53.941486 11.409 11.770 12.439 11.396 11.751 12.370 0.047 0.033 0.025 0.098 0.037 0.039 0.017 1.338 1.514 0.440 98    NN 0333 del_v3
15364534-7125352 234.188858 -71.426361 315.382629 -12.671414 11.393 11.628 12.334 11.393 11.628 12.334 0.120 0.065 0.060 0.065 0.040 0.039 0.094 1.630 1.630 0.400 98    NN 0111 del_v3
15375266+5923382 234.469482  59.393948  93.218712  46.991524  9.356  9.671 10.433  9.356  9.671 10.433 0.021 0.019 0.014 0.010 0.010 0.007 0.025 1.867 1.868 0.180 40    LM 0000 rjc_v0
15395738+5804463 234.989059  58.079533  91.334953  47.393852  8.710  8.974  9.670  8.608  8.860  9.554 0.020 0.018 0.012 0.023 0.017 0.017 0.016 1.816 1.961 0.440 98    NN 0000 del_v3
15412906-8138012 235.372177 -81.633636 308.970795 -20.834883 11.301 11.564 12.468 11.301 11.564 12.468 0.130 0.083 0.086 0.070 0.050 0.059 0.276 1.563 1.563 0.320 98    NN 0111 del_v3
15441921-2419204 236.080030 -24.322390 345.924740  23.777440 10.452 10.480 10.737 10.447 10.372 10.727 0.021 0.013 0.008 0.683 0.011 0.605 0.343 1.161 1.380 0.440 21    JH 0000 del_v4
15442739+4107190 236.114304  41.121796  65.924789  52.015274 10.801 11.082 11.754 10.603 10.883 11.630 0.045 0.037 0.026 0.040 0.040 0.030 0.020 1.377 1.606 0.940 98    NN 0133 del_v3
15450634-3417378 236.276428 -34.293827 339.157990  16.090948 11.639 12.596 13.722 11.571 12.526 13.507 0.062 0.075 0.094 0.063 0.100 0.122 0.782 1.076 1.161 0.640 98    NN 0000 del_v3
15530737-7449230 238.281219 -74.823059 314.120911 -16.053865 11.026 11.218 12.088 10.881 11.057 11.932 0.090 0.049 0.046 0.074 0.044 0.047 0.113 1.380 1.575 0.660 40    LM 0262 rjc_v0
15532317+1157327 238.346542  11.959134  22.509214  44.820583 10.749 10.969 11.662 10.520 10.720 11.297 0.068 0.045 0.034 0.061 0.043 0.037 0.043 1.420 1.668 0.640 98    NN 0111 del_v3
15562915-3654078 239.121521 -36.902172 339.233337  12.605658 11.575 11.903 12.614 11.193 11.903 12.614 0.080 0.074 0.064 0.084 0.049 0.046 0.459 1.519 1.861 0.220 98    NN 0111 del_v3
16013398+2614511 240.391660  26.247620  43.000290  47.782660 11.553 11.613 12.166 11.553 11.613 12.166 1.197 0.770 0.528 0.676 0.465 0.339 0.052 2.079 2.079 1.000 22    NN 0122 del_v4
16013973+2121296 240.415527  21.358215  36.058071  46.505836 11.244 11.696 12.411 11.034 11.353 12.411 0.093 0.068 0.048 0.078 0.059 0.059 0.071 1.322 1.541 1.000 40    LM 0666 rjc_v0
16015046+1759516 240.460388  17.997547  31.509659  45.368206 11.618 12.024 12.786 11.607 12.014 12.780 0.064 0.046 0.035 0.108 0.152 0.259 0.049 1.384 1.582 0.200 98    NN 0000 del_v3
16031205-1319378 240.800310 -13.327130 358.117610  28.361760 11.065 11.573 12.253 10.556 11.458 12.014 0.087 0.049 0.046 0.087 0.083 0.075 0.180 1.371 1.744 0.720 22    JH 0333 del_v4
16031382-6407028 240.807266 -64.117432 322.070099  -8.628094 11.311 11.517 12.104 10.726 11.205 12.079 0.123 0.081 0.068 0.135 0.127 0.148 0.192 1.336 1.813 0.780 98    NN 0222 del_v3
16053453-0559397 241.393982  -5.994352   5.113792  32.580399 11.563 11.923 12.723 11.546 11.895 12.254 0.037 0.025 0.025 0.052 0.039 0.026 0.206 0.813 1.290 0.760 98    NN 0000 del_v3
16060394+5525313 241.516388  55.425411  85.760544  45.159466 10.772 11.080 11.777 10.589 10.859 11.517 0.056 0.039 0.029 0.047 0.038 0.029 0.009 1.513 1.706 0.260 98    NN 0000 del_v3
16080647+2529073 242.027100  25.485390  42.392300  46.178160 10.583 10.942 11.690 10.133 10.942 11.690 0.092 0.057 0.050 0.065 0.066 0.065 0.057 1.806 1.966 0.480 22__D JH 0331 del_v4
16102310-6244381 242.596207 -62.744160 323.605225  -8.159783 11.557 12.061 12.875 11.555 12.061 12.873 0.098 0.097 0.097 0.209 0.214 0.267 0.175 1.464 1.617 0.300 98    NN 0222 del_v3
16125713-3613263 243.238098 -36.223972 342.183044  10.859122 10.424 12.043 12.317  9.949 12.020 12.317 0.062 0.137 0.080 0.082 0.350 0.052 0.783 1.613 1.987 0.360 30    LM 0555 rjc_v0
16254283-7210527 246.428680 -72.181282 317.757629 -15.805860  8.654  8.699  9.814  8.654  8.699  9.814 0.049 0.035 0.036 0.025 0.018 0.018 0.108 1.894 1.894 0.780 27    LM 0222 rjc_v0
16254446-7213207 246.435333 -72.222397 317.727234 -15.834828 10.722 10.669 11.838 10.640 10.669 11.838 0.098 0.063 0.057 0.090 0.032 0.035 0.102 1.408 1.600 0.840 27    LM 0111 rjc_v0
16254574-7209017 246.440643 -72.150490 317.783997 -15.788019  9.681  9.752 11.234  9.681  9.752 11.234 0.078 0.057 0.072 0.075 0.055 0.079 0.110 1.721 1.841 0.440 27    LM 0222 rjc_v0
16255333-7209479 246.472412 -72.163315 317.780823 -15.803826  8.988  8.993 10.379  8.988  8.993 10.379 0.064 0.045 0.057 0.032 0.023 0.030 0.109 2.042 2.042 0.620 27    LM 0666 rjc_v0
16255350-7210568 246.473129 -72.182564 317.766083 -15.816835  7.771  7.812  8.846  7.771  7.812  8.846 0.038 0.027 0.026 0.019 0.014 0.013 0.108 2.034 2.034 0.660 27    LM 0222 rjc_v0
16260414-7212240 246.517181 -72.206703 317.756744 -15.842975  9.124  9.216 10.466  9.124  9.216 10.466 0.057 0.043 0.046 0.029 0.021 0.024 0.104 2.041 2.041 0.520 27    LM 0222 rjc_v0
16260770-7209400 246.532089 -72.161034 317.795258 -15.815919  9.807  9.708 11.019  9.807  9.708 11.019 0.089 0.061 0.067 0.044 0.030 0.037 0.109 1.787 1.787 0.560 27    LM 0111 rjc_v0
16271650-7210378 246.818832 -72.177208 317.843414 -15.892242  9.709 10.111 99.999  9.709 10.111 15.120 0.110 0.114 9.999 0.131 0.057 0.215 0.104 1.766 1.883 1.000 27    LM 066n rjc_v0
16274793-2630396 246.949677 -26.510958 351.638519  15.281650  8.841  9.415 10.401  8.841  9.415 10.401 0.054 0.053 0.059 0.062 0.061 0.070 0.474 1.779 1.895 1.000 25    LM 0111 rjc_v0
16282913-2611553 247.121414 -26.198685 351.986664  15.373693 10.960 10.941 11.728 10.960 10.941 11.728 0.154 0.078 0.068 0.077 0.042 0.041 0.765 1.494 1.494 0.700 25    LM 0111 rjc_v0
16290971-7728096 247.290450 -77.469420 313.718260 -19.439000 11.618 12.144 12.864 11.173 11.547 12.820 0.106 0.098 0.076 0.129 0.113 0.153 0.132 1.312 1.685 0.660 22    NN 0333 del_v4
16295808+4037432 247.491943  40.628628  64.428741  43.462723  9.711 10.039 10.780  9.587  9.874 10.644 0.035 0.029 0.021 0.032 0.025 0.021 0.008 1.544 1.716 0.600 98    NN 0000 del_v3
16301116-5814486 247.546707 -58.246780 328.552124  -6.718888 11.500 11.814 12.480 11.109 11.804 12.432 0.087 0.071 0.069 0.116 0.152 0.152 0.374 1.161 1.638 0.780 21    NN 0333 del_v3
16312081+2011077 247.836792  20.185480  37.505196  39.548946 10.764 11.095 11.783 10.617 10.990 11.641 0.060 0.042 0.029 0.050 0.043 0.030 0.063 1.645 1.815 0.200 98    NN 0000 del_v3
16323615-1303075 248.150558 -13.051942   3.386247  22.997950  9.377  9.483  9.860  9.377  9.483  9.860 0.051 0.032 0.021 0.050 0.032 0.020 0.463 1.703 1.826 0.780 27    LM 0666 rjc_v0
16331360-2958570 248.306427 -29.982584 349.780670  12.084415 11.205 11.787 12.489 11.090 11.780 12.239 0.047 0.043 0.032 0.050 0.065 0.039 0.480 1.004 1.385 0.860 25    LM 0000 rjc_v0
16381810-6421367 249.575520 -64.360200 324.596310 -11.521760  9.625  9.931 10.573  9.345  9.484 10.146 0.055 0.050 0.039 0.072 0.056 0.048 0.160 1.571 1.879 0.560 22    JH 0555 del_v4
16414163+3627407 250.423477  36.461319  59.009373  40.911896  3.876  3.963  4.478  3.854  3.941  4.452 0.015 0.015 0.015 0.015 0.015 0.015 0.017 2.288 2.477 1.000 27    LM Z000 rjc_v0
16415358-2342061 250.473404 -23.701773 355.992493  14.666599 11.620 11.822 12.411 11.610 11.822 12.411 0.071 0.052 0.043 0.174 0.036 0.031 0.855 1.228 1.425 0.460 98    NN 0000 del_v3
16455434-2327189 251.476486 -23.455297 356.784729  14.103569 10.667 11.062 11.787 10.158 11.044 11.779 0.074 0.050 0.040 0.076 0.088 0.078 0.606 1.650 2.031 0.680 40    LM 0666 rjc_v0
16470361-0200160 251.764984  -2.004474  15.636157  26.321411 11.180 10.818 11.839 11.180 10.818 11.839 0.109 0.044 0.045 0.056 0.023 0.028 0.179 1.455 1.455 0.500 27    LM 0313 rjc_v0
16495269+5532308 252.469666  55.542053  83.960236  39.103199 10.895 11.156 11.813 10.751 11.011 11.692 0.053 0.035 0.026 0.045 0.037 0.027 0.018 1.449 1.632 0.420 98    NN 0000 del_v3
16503125+4148421 252.630188  41.811611  66.182793  39.640423 11.598 12.013 12.806 11.490 11.986 12.725 0.062 0.047 0.037 0.063 0.064 0.049 0.022 1.435 1.633 0.260 98    NN 0111 del_v3
16535723-1617280 253.488327 -16.291050   3.897389  16.922152 11.323 11.502 12.027 11.096 11.487 12.027 0.071 0.055 0.042 0.070 0.223 0.205 0.750 1.318 1.624 0.400 98    NN 0111 del_v3
16551200-1329116 253.800079 -13.486631   6.478704  18.301567 11.708 11.928 12.647 11.583 11.848 12.438 0.075 0.060 0.052 0.078 0.072 0.060 0.640 1.111 1.368 0.680 98    NN 0000 del_v3
16561212-2902288 254.050537 -29.041359 353.760712   8.835714 11.183 11.626 12.370 10.755 11.595 12.348 0.213 0.199 0.203 0.136 0.215 0.242 0.219 1.539 1.628 0.700 98    NN 0221 del_v3
16564292-6224213 254.178940 -62.405903 327.470428 -11.903718 10.475 10.742 11.399 10.475 10.742 11.399 0.070 0.049 0.038 0.035 0.025 0.022 0.135 1.683 1.683 0.320 40    LM 0222 rjc_v0
16564480-6224293 254.186554 -62.408100 327.470795 -11.907856 11.156 11.459 12.077 11.156 11.459 12.077 0.094 0.063 0.049 0.049 0.037 0.031 0.135 1.572 1.571 0.420 40    LM 0222 rjc_v0
16581289-0038034 254.553757  -0.634223  18.531069  24.641500 11.658 12.080 12.760 11.220 11.499 12.279 0.086 0.066 0.057 0.112 0.085 0.085 0.349 1.352 1.801 0.360 98    NN 0000 del_v3
17010950+2040273 255.289749  20.674213  40.945549  33.118614 11.376 11.706 12.393 11.231 11.611 12.261 0.051 0.044 0.033 0.047 0.048 0.037 0.064 1.283 1.497 0.480 98    NN 0000 del_v3
17025816+3330284 255.742390  33.507930  56.127360  36.155380 11.176 11.691 12.578 11.176 11.691 12.578 0.859 0.704 0.599 0.915 0.787 0.832 0.028 2.079 2.177 1.000 22    JH 0122 del_v4
17054363-2524226 256.431732 -25.406265 357.990814   9.332674 11.343 11.675 12.047 11.222 11.195 11.588 0.093 0.082 0.063 0.088 0.065 0.053 0.396 1.220 1.449 0.700 98    NN 0444 del_v3
